distance_km,num_stops,traffic,weather,pickup_hour,day_of_week,package_size,delivery_experience_years,delivery_time_min
23.33,3,heavy,sunny,12,1,medium,10,102.1
13.45,2,low,sunny,12,5,small,0,33.5
25.83,0,moderate,sunny,21,2,small,4,76.5
21.07,0,low,rainy,17,3,small,3,46.8
3.28,3,low,sunny,19,6,small,6,39.6
29.28,3,heavy,sunny,18,1,small,7,124.6
22.95,3,low,sunny,14,2,small,0,79.5
23.69,0,moderate,windy,18,1,small,4,66.5
4.28,3,moderate,sunny,16,3,medium,3,23.6
13.79,0,low,sunny,18,2,medium,10,63.0
11.44,0,moderate,sunny,11,6,medium,3,36.2
27.84,2,moderate,sunny,10,2,small,0,80.3
19.49,3,heavy,rainy,9,4,small,6,98.0
24.77,3,low,rainy,11,0,medium,9,73.7
13.58,5,very_heavy,sunny,21,3,medium,9,101.8
7.2,5,heavy,windy,21,5,small,1,61.2
16.86,2,moderate,sunny,9,4,large,8,57.8
2.38,4,moderate,windy,15,1,medium,2,25.0
24.92,0,heavy,sunny,21,6,large,1,86.7
19.13,5,heavy,sunny,18,5,medium,5,95.1
22.86,2,moderate,windy,16,2,small,8,64.6
10.96,4,very_heavy,windy,15,6,large,9,79.7
29.14,5,heavy,rainy,11,1,large,6,132.7
26.85,4,moderate,rainy,20,2,medium,4,85.5
23.46,5,heavy,rainy,8,6,large,6,112.9
6.24,0,moderate,rainy,20,6,large,3,25.4
14.27,1,heavy,sunny,20,5,medium,1,42.5
1.79,3,heavy,sunny,10,1,small,4,29.5
5.05,3,low,rainy,14,1,medium,1,32.7
20.65,0,low,sunny,20,4,medium,1,47.4
22.47,4,moderate,windy,14,0,medium,8,55.4
29.04,0,heavy,sunny,11,6,small,9,88.2
10.11,5,moderate,sunny,8,6,medium,8,47.0
11.43,0,heavy,sunny,13,5,large,10,61.2
14.35,2,moderate,rainy,11,6,small,5,58.8
6.09,4,low,sunny,19,1,small,7,35.9
4.33,3,heavy,windy,19,6,medium,2,55.5
14.53,4,moderate,sunny,11,1,small,4,69.0
7.19,4,moderate,sunny,10,0,small,1,45.6
20.26,5,low,rainy,11,1,medium,6,73.1
13.4,2,low,sunny,13,5,large,4,52.5
25.06,5,low,rainy,17,6,small,6,81.1
21.16,3,moderate,sunny,9,4,small,9,83.8
9.71,5,moderate,sunny,21,1,small,0,55.4
25.05,4,moderate,sunny,17,4,medium,4,98.0
24.24,0,low,windy,8,3,small,4,78.8
11.93,3,low,sunny,11,3,small,8,40.1
9.01,5,moderate,sunny,17,2,medium,7,59.1
20.63,0,very_heavy,rainy,14,0,large,7,80.6
4.62,5,moderate,snowy,14,2,small,9,41.4
6.4,0,low,rainy,7,6,medium,3,20.7
0.72,5,moderate,rainy,13,2,medium,3,39.8
23.71,4,heavy,sunny,16,0,small,3,105.5
20.11,0,heavy,sunny,18,2,medium,9,71.5
21.3,4,heavy,windy,13,3,small,5,93.0
23.53,0,heavy,windy,15,4,small,8,65.5
14.04,3,moderate,rainy,10,4,small,2,59.0
17.28,5,very_heavy,rainy,18,2,small,10,103.8
4.62,1,low,windy,17,1,medium,5,32.1
3.88,1,heavy,sunny,18,3,medium,10,20.3
20.22,2,heavy,sunny,17,0,medium,4,84.0
14.4,2,heavy,snowy,21,3,medium,0,107.5
17.17,0,moderate,sunny,20,3,small,2,60.0
23.07,2,heavy,sunny,19,2,large,4,98.6
19.22,1,low,sunny,12,4,large,1,41.0
16.83,0,moderate,rainy,8,5,small,8,58.0
17.0,1,moderate,rainy,7,1,medium,3,54.8
9.47,0,moderate,rainy,18,3,medium,9,34.3
1.41,5,moderate,sunny,20,3,small,10,19.8
13.38,5,moderate,sunny,16,3,small,0,58.9
6.83,2,low,sunny,17,2,small,3,37.6
12.55,5,moderate,windy,8,1,large,6,69.6
25.68,2,moderate,sunny,15,1,medium,9,84.1
7.4,5,moderate,rainy,16,0,medium,9,47.3
2.22,1,heavy,sunny,9,0,large,2,32.4
8.8,1,low,rainy,18,5,small,2,31.6
9.16,4,heavy,sunny,12,0,large,2,75.5
20.03,1,moderate,rainy,9,5,medium,3,76.6
16.93,4,low,rainy,17,6,medium,6,62.6
23.62,2,moderate,sunny,13,1,small,4,69.2
20.1,2,moderate,sunny,15,3,small,7,72.8
12.49,2,moderate,sunny,15,2,small,4,33.3
24.51,4,low,sunny,16,2,small,6,88.6
5.43,0,low,rainy,13,2,small,6,30.2
1.17,4,low,sunny,19,2,small,2,43.2
3.16,4,low,rainy,20,4,medium,0,30.0
21.81,4,low,sunny,14,2,large,2,73.8
14.13,5,heavy,rainy,9,1,small,8,104.3
5.26,4,moderate,sunny,11,2,small,8,28.5
15.28,3,moderate,sunny,18,6,medium,1,64.5
4.99,2,moderate,sunny,10,6,medium,4,24.4
21.04,2,moderate,rainy,18,0,medium,8,60.8
13.66,4,low,sunny,16,4,large,8,47.7
11.74,2,low,rainy,13,6,small,0,59.5
9.39,3,low,sunny,8,1,small,8,40.0
19.09,0,moderate,windy,15,0,large,8,48.5
11.17,1,moderate,rainy,17,1,medium,1,54.1
3.09,1,moderate,rainy,9,2,medium,3,17.8
3.98,2,moderate,rainy,19,6,large,0,37.3
28.88,3,very_heavy,sunny,9,1,small,7,147.6
27.3,4,moderate,rainy,13,2,small,9,97.0
21.14,2,moderate,sunny,14,1,small,1,61.7
8.34,0,moderate,rainy,18,2,medium,3,34.0
29.09,3,heavy,sunny,10,6,large,5,126.1
23.47,0,heavy,sunny,12,0,small,0,60.4
21.65,5,heavy,rainy,19,3,small,3,98.3
13.76,4,low,sunny,11,4,medium,2,52.6
8.53,1,moderate,sunny,16,0,small,0,34.3
3.34,1,heavy,sunny,12,0,medium,7,27.9
27.13,0,moderate,rainy,7,6,small,7,94.9
13.95,2,very_heavy,sunny,14,1,large,0,60.3
6.47,0,moderate,sunny,12,1,medium,1,36.3
9.53,5,moderate,snowy,10,2,small,0,73.1
17.59,0,moderate,windy,19,0,medium,10,59.6
5.71,3,moderate,sunny,18,1,medium,6,42.5
25.77,3,heavy,sunny,11,0,small,5,96.5
22.88,1,low,sunny,14,3,small,0,64.9
21.72,4,moderate,windy,17,3,medium,0,76.1
13.25,0,moderate,sunny,7,1,medium,10,36.6
19.01,5,heavy,sunny,8,6,medium,10,111.6
17.73,4,moderate,sunny,15,2,small,5,60.3
19.67,3,very_heavy,sunny,20,0,medium,1,123.4
2.99,5,heavy,sunny,20,0,medium,0,58.3
